File_ID,Subject_ID,Exercise,Dataset_Source,File_Type,File_Path,FPS,Resolution,Duration_sec,Frame_Count,Camera_View,Quality,Selected,Pose_Status,Notes
BB_unknown_062,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g13_c03.avi,29.97,320x240,10.511,315,unknown,unchecked,yes,not_started,
BB_unknown_063,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g13_c04.avi,29.97,320x240,10.01,300,unknown,unchecked,yes,not_started,
BB_unknown_064,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g14_c01.avi,29.97,320x240,2.703,81,unknown,unchecked,yes,not_started,
BB_unknown_065,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g14_c02.avi,29.97,320x240,4.371,131,unknown,unchecked,yes,not_started,
BB_unknown_066,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g14_c03.avi,29.97,320x240,2.97,89,unknown,unchecked,yes,not_started,
BB_unknown_067,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g14_c04.avi,29.97,320x240,2.936,88,unknown,unchecked,yes,not_started,
BB_unknown_068,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g14_c05.avi,29.97,320x240,3.036,91,unknown,unchecked,yes,not_started,
BB_unknown_069,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g15_c01.avi,29.97,320x240,4.004,120,unknown,unchecked,yes,not_started,
BB_unknown_070,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g15_c02.avi,29.97,320x240,5.072,152,unknown,unchecked,yes,not_started,
BB_unknown_071,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g15_c03.avi,29.97,320x240,6.506,195,unknown,unchecked,yes,not_started,
BB_unknown_072,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g15_c04.avi,29.97,320x240,3.737,112,unknown,unchecked,yes,not_started,
BB_unknown_073,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g15_c05.avi,29.97,320x240,5.806,174,unknown,unchecked,yes,not_started,
BB_unknown_074,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g15_c06.avi,29.97,320x240,6.173,185,unknown,unchecked,yes,not_started,
BB_unknown_075,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g15_c07.avi,29.97,320x240,5.472,164,unknown,unchecked,yes,not_started,
BB_unknown_076,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g16_c01.avi,29.97,320x240,17.618,528,unknown,unchecked,yes,not_started,
BB_unknown_077,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g16_c02.avi,29.97,320x240,17.284,518,unknown,unchecked,yes,not_started,
BB_unknown_078,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g16_c03.avi,29.97,320x240,4.371,131,unknown,unchecked,yes,not_started,
BB_unknown_079,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g16_c04.avi,29.97,320x240,3.203,96,unknown,unchecked,yes,not_started,
BB_unknown_080,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g16_c05.avi,29.97,320x240,15.716,471,unknown,unchecked,yes,not_started,
BB_unknown_081,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g16_c06.avi,29.97,320x240,11.545,346,unknown,unchecked,yes,not_started,
BB_unknown_082,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g17_c01.avi,29.97,320x240,5.105,153,unknown,unchecked,yes,not_started,
BB_unknown_083,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g17_c02.avi,29.97,320x240,3.837,115,unknown,unchecked,yes,not_started,
BB_unknown_084,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g17_c03.avi,29.97,320x240,7.14,214,unknown,unchecked,yes,not_started,
BB_unknown_085,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g17_c04.avi,29.97,320x240,2.803,84,unknown,unchecked,yes,not_started,
BB_unknown_086,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g18_c01.avi,29.97,320x240,7.875,236,unknown,unchecked,yes,not_started,
BB_unknown_087,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g18_c02.avi,29.97,320x240,3.403,102,unknown,unchecked,yes,not_started,
BB_unknown_088,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g18_c03.avi,29.97,320x240,6.006,180,unknown,unchecked,yes,not_started,
BB_unknown_089,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g18_c04.avi,29.97,320x240,6.273,188,unknown,unchecked,yes,not_started,
BB_unknown_090,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g18_c05.avi,29.97,320x240,4.872,146,unknown,unchecked,yes,not_started,
BB_unknown_091,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g19_c01.avi,29.97,320x240,2.603,78,unknown,unchecked,yes,not_started,
BB_unknown_092,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g19_c02.avi,29.97,320x240,4.771,143,unknown,unchecked,yes,not_started,
BB_unknown_093,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g19_c03.avi,29.97,320x240,4.004,120,unknown,unchecked,yes,not_started,
BB_unknown_094,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g19_c04.avi,29.97,320x240,3.937,118,unknown,unchecked,yes,not_started,
BB_unknown_095,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g19_c05.avi,29.97,320x240,5.038,151,unknown,unchecked,yes,not_started,
BB_unknown_096,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g19_c06.avi,29.97,320x240,3.37,101,unknown,unchecked,yes,not_started,
BB_unknown_097,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g19_c07.avi,29.97,320x240,4.571,137,unknown,unchecked,yes,not_started,
BB_unknown_098,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g20_c01.avi,29.97,320x240,4.004,120,unknown,unchecked,yes,not_started,
BB_unknown_099,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g20_c02.avi,29.97,320x240,5.839,175,unknown,unchecked,yes,not_started,
BB_unknown_100,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g20_c03.avi,29.97,320x240,3.504,105,unknown,unchecked,yes,not_started,
BB_unknown_101,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g20_c04.avi,29.97,320x240,4.004,120,unknown,unchecked,yes,not_started,
BB_unknown_102,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g20_c05.avi,29.97,320x240,4.004,120,unknown,unchecked,yes,not_started,
BB_unknown_103,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g20_c06.avi,29.97,320x240,2.936,88,unknown,unchecked,yes,not_started,
BB_unknown_104,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g20_c07.avi,29.97,320x240,2.469,74,unknown,unchecked,yes,not_started,
BB_unknown_105,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g21_c01.avi,29.97,320x240,2.336,70,unknown,unchecked,yes,not_started,
BB_unknown_106,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g21_c02.avi,29.97,320x240,3.337,100,unknown,unchecked,yes,not_started,
BB_unknown_107,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g21_c03.avi,29.97,320x240,6.073,182,unknown,unchecked,yes,not_started,
BB_unknown_108,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g21_c04.avi,29.97,320x240,4.338,130,unknown,unchecked,yes,not_started,
BB_unknown_109,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g21_c05.avi,29.97,320x240,6.006,180,unknown,unchecked,yes,not_started,
BB_unknown_110,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g21_c06.avi,29.97,320x240,2.803,84,unknown,unchecked,yes,not_started,
BB_unknown_111,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g22_c01.avi,29.97,320x240,4.004,120,unknown,unchecked,yes,not_started,
BB_unknown_112,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g22_c02.avi,29.97,320x240,3.403,102,unknown,unchecked,yes,not_started,
BB_unknown_113,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g22_c03.avi,29.97,320x240,4.404,132,unknown,unchecked,yes,not_started,
BB_unknown_114,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g22_c04.avi,29.97,320x240,3.37,101,unknown,unchecked,yes,not_started,
BB_unknown_115,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g22_c05.avi,29.97,320x240,2.936,88,unknown,unchecked,yes,not_started,
BB_unknown_116,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g22_c06.avi,29.97,320x240,3.37,101,unknown,unchecked,yes,not_started,
BB_unknown_117,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g22_c07.avi,29.97,320x240,3.303,99,unknown,unchecked,yes,not_started,
BB_unknown_118,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g23_c01.avi,29.97,320x240,4.605,138,unknown,unchecked,yes,not_started,
BB_unknown_119,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g23_c02.avi,29.97,320x240,4.004,120,unknown,unchecked,yes,not_started,
BB_unknown_120,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g23_c03.avi,29.97,320x240,4.004,120,unknown,unchecked,yes,not_started,
BB_unknown_121,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g23_c04.avi,29.97,320x240,4.004,120,unknown,unchecked,yes,not_started,
BB_unknown_122,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g23_c05.avi,29.97,320x240,3.47,104,unknown,unchecked,yes,not_started,
BB_unknown_123,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g23_c06.avi,29.97,320x240,3.237,97,unknown,unchecked,yes,not_started,
BB_unknown_124,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g24_c01.avi,29.97,320x240,4.438,133,unknown,unchecked,yes,not_started,
BB_unknown_125,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g24_c02.avi,29.97,320x240,4.004,120,unknown,unchecked,yes,not_started,
BB_unknown_126,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g24_c03.avi,29.97,320x240,3.904,117,unknown,unchecked,yes,not_started,
BB_unknown_127,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g24_c04.avi,29.97,320x240,4.004,120,unknown,unchecked,yes,not_started,
BB_unknown_128,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g25_c01.avi,29.97,320x240,4.171,125,unknown,unchecked,yes,not_started,
BB_unknown_129,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g25_c02.avi,29.97,320x240,5.973,179,unknown,unchecked,yes,not_started,
BB_unknown_130,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g25_c03.avi,29.97,320x240,4.872,146,unknown,unchecked,yes,not_started,
BB_unknown_131,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g25_c04.avi,29.97,320x240,3.604,108,unknown,unchecked,yes,not_started,
BB_unknown_132,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g25_c05.avi,29.97,320x240,6.006,180,unknown,unchecked,yes,not_started,
BB_unknown_133,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g25_c06.avi,29.97,320x240,3.704,111,unknown,unchecked,yes,not_started,
BB_unknown_134,unknown,basketball,Dataset,video,1_raw_datasets/Dataset/Basketball Videos/v_Basketball_g25_c07.avi,29.97,320x240,4.371,131,unknown,unchecked,yes,not_started,
LU_unknown_001,unknown,lunges,Dataset,video,1_raw_datasets/Dataset/Lunges Video/v_Lunges_g01_c01.avi,25.0,320x240,10.48,262,unknown,unchecked,yes,not_started,
LU_unknown_002,unknown,lunges,Dataset,video,1_raw_datasets/Dataset/Lunges Video/v_Lunges_g01_c02.avi,25.0,320x240,9.4,235,unknown,unchecked,yes,not_started,
LU_unknown_003,unknown,lunges,Dataset,video,1_raw_datasets/Dataset/Lunges Video/v_Lunges_g01_c03.avi,25.0,320x240,9.04,226,unknown,unchecked,yes,not_started,
LU_unknown_004,unknown,lunges,Dataset,video,1_raw_datasets/Dataset/Lunges Video/v_Lunges_g01_c04.avi,25.0,320x240,10.84,271,unknown,unchecked,yes,not_started,
LU_unknown_005,unknown,lunges,Dataset,video,1_raw_datasets/Dataset/Lunges Video/v_Lunges_g01_c05.avi,25.0,320x240,10.12,253,unknown,unchecked,yes,not_started,
LU_unknown_006,unknown,lunges,Dataset,video,1_raw_datasets/Dataset/Lunges Video/v_Lunges_g01_c06.avi,25.0,320x240,10.48,262,unknown,unchecked,yes,not_started,
LU_unknown_007,unknown,lunges,Dataset,video,1_raw_datasets/Dataset/Lunges Video/v_Lunges_g01_c07.avi,25.0,320x240,9.4,235,unknown,unchecked,yes,not_started,
LU_unknown_008,unknown,lunges,Dataset,video,1_raw_datasets/Dataset/Lunges Video/v_Lunges_g02_c01.avi,25.0,320x240,6.6,165,unknown,unchecked,yes,not_started,
LU_unknown_009,unknown,lunges,Dataset,video,1_raw_datasets/Dataset/Lunges Video/v_Lunges_g02_c02.avi,25.0,320x240,6.72,168,unknown,unchecked,yes,not_started,
LU_unknown_010,unknown,lunges,Dataset,video,1_raw_datasets/Dataset/Lunges Video/v_Lunges_g02_c03.avi,25.0,320x240,6.32,158,unknown,unchecked,yes,not_started,
LU_unknown_011,unknown,lunges,Dataset,video,1_raw_datasets/Dataset/Lunges Video/v_Lunges_g02_c04.avi,25.0,320x240,7.08,177,unknown,unchecked,yes,not_started,
LU_unknown_012,unknown,lunges,Dataset,video,1_raw_datasets/Dataset/Lunges Video/v_Lunges_g03_c01.avi,25.0,320x240,10.16,254,unknown,unchecked,yes,not_started,
LU_unknown_013,unknown,lunges,Dataset,video,1_raw_datasets/Dataset/Lunges Video/v_Lunges_g03_c02.avi,25.0,320x240,9.92,248,unknown,unchecked,yes,not_started,
LU_unknown_014,unknown,lunges,Dataset,video,1_raw_datasets/Dataset/Lunges Video/v_Lunges_g03_c03.avi,25.0,320x240,9.4,235,unknown,unchecked,yes,not_started,
