File_ID,Subject_ID,Exercise,pose_detected,left_chain_complete,right_chain_complete,bilateral_lower_body_complete,partial_unilateral_usable,analysis_tier,num_low_visibility_lower_body_landmarks,low_visibility_landmarks
SQ_1731_044,1731,squats,True,False,True,False,True,Unilateral_Tier,2,left_knee;left_ankle
SQ_1660_041,1660,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1699_030,1699,squats,False,False,False,False,False,Rejected_Tier,6,
SQ_1838_064,1838,squats,False,False,False,False,False,Rejected_Tier,6,
SQ_1874_060,1874,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1747_052,1747,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1855_027,1855,squats,False,False,False,False,False,Rejected_Tier,6,
SQ_1698_038,1698,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1870_076,1870,squats,True,False,True,False,True,Unilateral_Tier,1,left_knee
SQ_1746_064,1746,squats,True,False,False,False,False,Rejected_Tier,4,left_knee;right_knee;left_ankle;right_ankle
SQ_1880_044,1880,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1871_040,1871,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1757_051,1757,squats,True,True,False,False,True,Unilateral_Tier,1,right_knee
SQ_1683_044,1683,squats,True,True,False,False,True,Unilateral_Tier,1,right_knee
SQ_1751_052,1751,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1748_052,1748,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1867_064,1867,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1726_040,1726,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1670_045,1670,squats,False,False,False,False,False,Rejected_Tier,6,
SQ_1777_049,1777,squats,True,False,False,False,False,Rejected_Tier,3,left_knee;right_knee;left_ankle
SQ_1797_029,1797,squats,True,False,True,False,True,Unilateral_Tier,2,left_knee;left_ankle
SQ_1690_072,1690,squats,True,False,False,False,False,Rejected_Tier,3,left_knee;right_knee;right_ankle
SQ_1756_038,1756,squats,True,False,False,False,False,Rejected_Tier,4,left_knee;right_knee;left_ankle;right_ankle
SQ_1679_034,1679,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1801_046,1801,squats,True,False,False,False,False,Rejected_Tier,3,right_knee;left_ankle;right_ankle
SQ_1735_023,1735,squats,True,False,True,False,True,Unilateral_Tier,1,left_knee
SQ_1820_034,1820,squats,False,False,False,False,False,Rejected_Tier,6,
SQ_1818_028,1818,squats,True,True,False,False,True,Unilateral_Tier,1,right_knee
SQ_1752_059,1752,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1807_075,1807,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1708_036,1708,squats,True,True,False,False,True,Unilateral_Tier,2,right_knee;right_ankle
SQ_1676_040,1676,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1837_032,1837,squats,True,False,False,False,False,Rejected_Tier,4,left_knee;right_knee;left_ankle;right_ankle
SQ_1717_053,1717,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1734_056,1734,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1832_032,1832,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1869_068,1869,squats,True,False,True,False,True,Unilateral_Tier,1,left_knee
SQ_1684_031,1684,squats,True,False,False,False,False,Rejected_Tier,2,left_ankle;right_ankle
SQ_1863_053,1863,squats,True,True,False,False,True,Unilateral_Tier,2,right_knee;right_ankle
SQ_1878_049,1878,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1776_044,1776,squats,True,False,False,False,False,Rejected_Tier,3,right_knee;left_ankle;right_ankle
SQ_1753_054,1753,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1700_040,1700,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1754_087,1754,squats,True,False,True,False,True,Unilateral_Tier,1,left_knee
SQ_1750_060,1750,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1712_038,1712,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1727_051,1727,squats,True,False,True,False,True,Unilateral_Tier,2,left_knee;left_ankle
SQ_1677_047,1677,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1702_029,1702,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1796_029,1796,squats,True,False,True,False,True,Unilateral_Tier,1,left_knee
SQ_1884_056,1884,squats,True,False,True,False,True,Unilateral_Tier,1,left_knee
SQ_1813_044,1813,squats,True,True,False,False,True,Unilateral_Tier,1,right_knee
SQ_1778_049,1778,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1817_029,1817,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1729_058,1729,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1858_090,1858,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1743_029,1743,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1673_039,1673,squats,True,False,False,False,False,Rejected_Tier,3,left_knee;right_knee;left_ankle
SQ_1822_046,1822,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1873_047,1873,squats,True,True,False,False,True,Unilateral_Tier,2,right_knee;right_ankle
SQ_1740_046,1740,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1762_033,1762,squats,True,True,True,True,True,Gold_Tier,0,
SQ_1809_054,1809,squats,False,False,False,False,False,Rejected_Tier,6,
SQ_1675_071,1675,squats,True,False,True,False,True,Unilateral_Tier,2,left_knee;left_ankle
SQ_1713_048,1713,squats,True,False,True,False,True,Unilateral_Tier,1,left_knee
SQ_1795_023,1795,squats,True,True,False,False,True,Unilateral_Tier,2,right_knee;right_ankle
